Date,Close
2000-01-03,453.35
2000-01-04,489.65
2000-01-05,514.85
2000-01-06,524.55
2000-01-07,496.4
2000-01-10,497.2
2000-01-11,532.8
2000-01-12,490.25
2000-01-13,499.0
2000-01-14,519.0
2000-01-17,560.55
2000-01-18,573.95
2000-01-19,599.2
2000-01-20,572.35
2000-01-21,550.0
2000-01-24,514.7
2000-01-25,507.25
2000-01-27,499.3
2000-01-28,511.1
2000-01-31,507.75
2000-02-01,481.95
2000-02-02,520.55
2000-02-03,519.2
2000-02-04,509.2
2000-02-07,505.85
2000-02-08,546.35
2000-02-09,529.2
2000-02-10,571.25
2000-02-11,616.95
2000-02-14,653.8
2000-02-15,601.5
2000-02-16,553.4
2000-02-17,529.45
2000-02-18,496.0
2000-02-21,507.8
2000-02-22,515.4
2000-02-23,514.75
2000-02-24,513.8
2000-02-25,496.15
2000-02-28,510.25
2000-02-29,482.15
2000-03-01,460.45
2000-03-02,423.7
2000-03-03,391.35
2000-03-06,402.45
2000-03-07,370.3
2000-03-08,350.05
2000-03-09,322.05
2000-03-10,347.85
2000-03-13,375.7
2000-03-14,387.4
2000-03-15,356.45
2000-03-16,327.95
2000-03-21,350.45
2000-03-22,369.2
2000-03-23,339.7
2000-03-24,330.25
2000-03-27,339.65
2000-03-28,348.9
2000-03-29,351.45
2000-03-30,325.65
2000-03-31,317.85
2000-04-03,292.7
2000-04-04,296.7
2000-04-05,315.5
2000-04-06,314.4
2000-04-07,339.55
2000-04-10,355.15
2000-04-11,348.45
2000-04-12,322.85
2000-04-13,308.05
2000-04-17,283.8
2000-04-18,280.0
2000-04-19,283.75
2000-04-20,282.25
2000-04-24,280.2
2000-04-25,293.55
2000-04-26,308.45
2000-04-27,283.8
2000-04-28,269.0
2000-05-02,267.35
2000-05-03,266.8
2000-05-04,270.0
2000-05-05,298.75
2000-05-08,281.5
2000-05-09,272.8
2000-05-10,261.8
2000-05-11,230.4
2000-05-12,204.5
2000-05-15,215.15
2000-05-16,212.95
2000-05-17,212.9
2000-05-18,209.85
2000-05-19,205.45
2000-05-22,200.55
2000-05-23,187.3
2000-05-24,196.05
2000-05-25,219.6
2000-05-26,210.8
2000-05-29,214.15
2000-05-30,229.3
2000-05-31,248.9
