Date,Close,Predictions
2019-03-25,237.2,245.36957
2019-03-26,236.45,244.19374
2019-03-27,234.45,243.18884
2019-03-28,236.1,242.1358
2019-03-29,237.2,241.42186
2019-04-01,236.4,241.09492
2019-04-02,236.4,240.89401
2019-04-03,234.1,240.79665
2019-04-04,234.8,240.47029
2019-04-05,234.7,240.18677
2019-04-08,232.95,239.94206
2019-04-09,238.4,239.52286
2019-04-10,240.05,239.79445
2019-04-11,240.95,240.54854
2019-04-12,240.8,241.56572
2019-04-15,250.0,242.57295
2019-04-16,251.6,244.67313
2019-04-18,251.45,247.20293
2019-04-22,252.05,249.61952
2019-04-23,255.5,251.77419
2019-04-24,254.0,253.99255
2019-04-25,251.65,255.73198
2019-04-26,250.5,256.71317
2019-04-30,252.15,257.05508
2019-05-02,252.35,257.25668
2019-05-03,252.1,257.3597
2019-05-06,251.35,257.35638
2019-05-07,248.8,257.19592
2019-05-08,249.1,256.6376
2019-05-09,242.3,256.0128
2019-05-10,241.25,254.51442
2019-05-13,242.1,252.69426
2019-05-14,241.8,251.05212
2019-05-15,235.1,249.64662
2019-05-16,232.15,247.65198
2019-05-17,236.15,245.29086
2019-05-20,237.7,243.58289
2019-05-21,237.2,242.57133
2019-05-22,241.25,241.95961
2019-05-23,244.15,242.16803
2019-05-24,244.9,243.11807
2019-05-27,244.1,244.41388
2019-05-28,250.7,245.62912
2019-05-29,250.7,247.54805
2019-05-30,252.95,249.53113
2019-05-31,253.5,251.61406
2019-06-03,260.9,253.5476
2019-06-04,263.4,256.16168
2019-06-06,269.15,259.06024
2019-06-07,265.55,262.5082
2019-06-10,259.3,265.25323
2019-06-11,258.75,266.48734
2019-06-12,257.0,266.79773
2019-06-13,255.6,266.35428
2019-06-14,255.15,265.39865
2019-06-17,255.3,264.24243
2019-06-18,260.35,263.14008
2019-06-19,257.05,262.87546
2019-06-20,260.35,262.55487
2019-06-21,254.25,262.73807
2019-06-24,256.75,262.2896
2019-06-25,258.35,261.99615
2019-06-26,260.3,262.00555
2019-06-27,259.4,262.41656
2019-06-28,253.8,262.8405
2019-07-01,249.25,262.47565
2019-07-02,252.7,261.21326
2019-07-03,250.95,260.1708
2019-07-04,251.1,259.08438
2019-07-05,241.9,258.14822
2019-07-08,232.4,256.16794
2019-07-09,229.6,252.75108
2019-07-10,233.35,248.76517
2019-07-11,234.9,245.48589
2019-07-12,231.25,243.11137
2019-07-15,230.4,240.9912
2019-07-16,232.8,239.18951
2019-07-17,230.0,238.09126
2019-07-18,220.3,237.10416
2019-07-19,221.9,235.08089
2019-07-22,221.4,233.0797
2019-07-23,218.05,231.24596
2019-07-24,216.85,229.29277
2019-07-25,209.05,227.38893
2019-07-26,210.65,224.76305
2019-07-29,205.4,222.34882
2019-07-30,199.55,219.6527
2019-07-31,204.45,216.44872
2019-08-01,202.45,214.0068
2019-08-02,197.2,211.94698
2019-08-05,200.6,209.69586
2019-08-06,205.1,208.06198
2019-08-07,206.1,207.45384
2019-08-08,211.85,207.53424
2019-08-09,207.6,208.66248
2019-08-13,203.75,209.6434
2019-08-14,200.5,209.9999
2019-08-16,201.95,209.62611
2019-08-19,198.95,209.11888
2019-08-20,195.3,208.21649
2019-08-21,188.8,206.78639
2019-08-22,180.85,204.48389
2019-08-23,188.0,201.08752
2019-08-26,188.75,198.41945
2019-08-27,191.85,196.45695
2019-08-28,185.05,195.43843
2019-08-29,189.0,194.19566
2019-08-30,184.75,193.49266
2019-09-03,181.05,192.62212
2019-09-04,182.15,191.35669
2019-09-05,194.85,190.1832
2019-09-06,198.6,190.67531
2019-09-09,199.35,192.34671
2019-09-11,196.7,194.51614
2019-09-12,197.7,196.38399
2019-09-13,198.2,198.02588
2019-09-16,200.55,199.41928
2019-09-17,197.6,200.80455
2019-09-18,192.35,201.6509
2019-09-19,193.45,201.50357
2019-09-20,200.05,201.02483
2019-09-23,202.7,201.21019
2019-09-24,198.15,201.98596
2019-09-25,192.6,202.40602
2019-09-26,203.3,201.95555
2019-09-27,199.35,202.4405
2019-09-30,199.85,202.79662
2019-10-01,194.1,203.13477
2019-10-03,186.75,202.72556
2019-10-04,185.8,201.13487
2019-10-07,184.4,199.05713
2019-10-09,185.35,196.80138
2019-10-10,184.55,194.82764
2019-10-11,189.05,193.11858
2019-10-14,190.1,192.27495
2019-10-15,191.15,192.07184
2019-10-16,194.55,192.34625
2019-10-17,199.4,193.2411
2019-10-18,205.95,194.92192
2019-10-22,208.8,197.58665
2019-10-23,208.8,200.77464
2019-10-24,205.2,203.862
2019-10-25,205.85,206.10846
2019-10-27,202.85,207.7694
2019-10-29,209.75,208.5601
2019-10-30,206.25,209.67638
2019-10-31,207.55,210.34026
2019-11-01,207.1,210.87613
2019-11-04,215.0,211.21342
2019-11-05,211.15,212.38635
2019-11-06,212.4,213.3131
2019-11-07,212.5,214.19273
2019-11-08,209.25,214.94945
2019-11-11,209.85,215.15044
2019-11-13,207.25,215.14363
2019-11-14,202.35,214.70163
2019-11-15,201.15,213.50146
2019-11-18,200.3,211.9424
2019-11-19,199.6,210.28197
2019-11-20,203.05,208.6797
2019-11-21,196.6,207.71684
2019-11-22,199.0,206.38272
2019-11-25,200.7,205.35522
2019-11-26,197.75,204.79439
2019-11-27,201.0,204.17174
2019-11-28,205.85,204.00859
2019-11-29,205.25,204.67105
2019-12-02,205.85,205.58154
2019-12-03,205.6,206.59988
2019-12-04,202.75,207.52713
2019-12-05,196.4,207.95659
2019-12-06,192.0,207.32631
2019-12-09,191.65,205.73567
2019-12-10,187.2,203.82025
2019-12-11,187.15,201.41757
2019-12-12,190.15,199.05899
2019-12-13,196.25,197.3431
2019-12-16,192.6,196.85623
2019-12-17,196.2,196.58464
2019-12-18,197.75,196.91492
2019-12-19,196.9,197.6871
2019-12-20,200.8,198.49397
2019-12-23,197.25,199.70764
2019-12-24,198.95,200.54231
2019-12-26,197.3,201.31769
2019-12-27,203.5,201.76236
2019-12-30,205.8,202.74644
2019-12-31,211.35,204.13176
2020-01-01,211.95,206.22928
2020-01-02,211.1,208.49155
2020-01-03,211.85,210.47237
2020-01-06,205.7,212.18036
2020-01-07,205.7,212.78062
2020-01-08,200.2,212.78719
2020-01-09,198.0,211.80302
2020-01-10,205.3,210.19179
2020-01-13,211.55,209.34727
2020-01-14,212.95,209.69807
2020-01-15,212.45,210.75024
2020-01-16,210.25,211.97664
2020-01-17,207.9,212.88998
2020-01-20,201.15,213.26855
2020-01-21,202.15,212.51595
2020-01-22,191.9,211.44746
2020-01-23,190.75,209.07465
2020-01-24,193.95,206.24724
2020-01-27,193.35,203.90019
2020-01-28,189.15,201.96664
2020-01-29,191.05,199.96649
2020-01-30,187.95,198.41904
2020-01-31,181.7,196.90065
2020-02-01,173.5,194.85368
2020-02-03,178.65,191.8486
2020-02-04,182.5,189.34697
2020-02-05,179.25,187.79974
2020-02-06,179.95,186.51698
2020-02-07,185.05,185.61787
2020-02-10,178.85,185.61092
2020-02-11,179.35,185.31955
2020-02-12,180.3,185.0103
2020-02-13,177.8,184.83556
2020-02-14,174.75,184.4536
2020-02-17,167.85,183.66594
2020-02-18,171.85,181.9748
2020-02-19,177.75,180.49945
2020-02-20,179.35,179.94978
2020-02-24,174.85,180.09088
2020-02-25,175.1,180.04712
2020-02-26,173.8,179.96526
2020-02-27,174.1,179.72186
2020-02-28,168.4,179.46184
2020-03-02,169.35,178.5642
2020-03-03,178.2,177.57181
2020-03-04,178.1,177.64452
2020-03-05,177.15,178.20508
2020-03-06,168.75,178.84843
2020-03-09,157.95,178.50337
2020-03-11,168.0,176.49663
2020-03-12,154.55,175.04794
