Date,Close,Predictions
2017-01-13,933.25,920.4244
2017-01-16,935.25,923.6851
2017-01-17,960.15,926.37427
2017-01-18,963.35,932.5306
2017-01-19,962.7,939.32666
2017-01-20,967.2,945.0605
2017-01-23,964.7,950.1731
2017-01-24,973.45,953.75104
2017-01-25,977.7,957.635
2017-01-27,969.6,961.6449
2017-01-30,973.2,963.6495
2017-01-31,970.7,965.2265
2017-02-01,991.0,965.957
2017-02-02,989.0,969.66437
2017-02-03,985.9,973.39655
2017-02-06,992.5,975.98254
2017-02-07,999.3,978.82465
2017-02-08,997.7,982.3817
2017-02-09,1002.85,985.2894
2017-02-10,993.05,988.33154
2017-02-13,984.75,989.2389
2017-02-14,980.8,987.87897
2017-02-15,981.7,985.32355
2017-02-16,969.9,982.9597
2017-02-17,960.8,979.1081
2017-02-20,975.75,973.92303
2017-02-21,991.5,971.6929
2017-02-22,1020.3,973.4829
2017-02-23,1009.0,981.1542
2017-02-27,1001.95,987.59283
2017-02-28,1024.2,991.3171
2017-03-01,1032.75,997.1663
2017-03-02,1028.75,1004.11084
2017-03-03,1013.7,1009.5413
2017-03-06,1029.4,1010.98047
2017-03-07,1023.95,1013.44696
2017-03-08,1022.55,1014.88824
2017-03-09,1031.1,1015.5132
2017-03-10,1030.25,1017.18945
2017-03-14,1071.4,1018.78107
2017-03-15,1064.05,1026.9927
2017-03-16,1087.55,1034.741
2017-03-17,1079.45,1044.9625
2017-03-20,1079.7,1052.8174
2017-03-21,1068.7,1058.536
2017-03-22,1057.85,1060.6433
2017-03-23,1061.6,1059.3269
2017-03-24,1064.25,1057.7205
2017-03-27,1042.9,1056.7416
2017-03-28,1057.85,1052.5587
2017-03-29,1068.1,1050.5873
2017-03-30,1070.1,1051.4164
2017-03-31,1073.5,1053.3944
2017-04-03,1089.85,1055.9967
2017-04-05,1082.55,1061.1069
2017-04-06,1086.9,1064.9092
2017-04-07,1082.95,1068.3455
2017-04-10,1059.2,1070.3634
2017-04-11,1072.5,1067.5308
2017-04-12,1070.45,1065.8274
2017-04-13,1078.3,1064.4285
2017-04-17,1059.35,1064.7279
2017-04-18,1040.45,1062.3472
2017-04-19,1048.9,1056.3214
2017-04-20,1058.8,1051.5577
2017-04-21,1065.45,1049.7094
2017-04-24,1069.95,1050.3021
2017-04-25,1097.9,1052.3861
2017-04-26,1104.65,1059.3274
2017-04-27,1105.35,1067.8013
2017-04-28,1120.45,1075.4215
