Date,Close,Predictions
2017-01-13,653.0,661.28326
2017-01-16,643.5,665.23505
2017-01-17,649.7,664.6655
2017-01-18,649.95,665.6949
2017-01-19,643.45,666.7434
2017-01-20,641.55,665.0632
2017-01-23,633.65,662.7885
2017-01-24,641.4,658.3631
2017-01-25,635.85,657.9425
2017-01-27,640.5,656.4233
2017-01-30,644.75,656.9297
2017-01-31,631.5,659.1679
2017-02-01,625.55,656.1206
2017-02-02,641.4,651.016
2017-02-03,647.25,653.0881
2017-02-06,675.15,657.89545
2017-02-07,669.6,671.62054
2017-02-08,662.2,680.0657
2017-02-09,655.5,681.74426
2017-02-10,655.05,679.07764
2017-02-13,654.7,676.40094
2017-02-14,649.3,674.5883
2017-02-15,623.05,671.657
2017-02-16,649.3,660.0656
2017-02-17,675.5,660.56244
2017-02-20,679.65,672.6805
2017-02-21,673.2,684.1509
2017-02-22,670.35,688.96906
2017-02-23,674.55,689.7036
2017-02-27,674.45,690.9173
2017-02-28,679.0,691.75073
2017-03-01,694.65,693.8922
2017-03-02,676.15,701.24854
2017-03-03,686.45,700.13873
2017-03-06,683.0,701.61786
2017-03-07,679.65,701.7731
2017-03-08,680.4,700.40173
2017-03-09,685.15,699.5199
2017-03-10,682.95,700.7936
2017-03-14,708.2,701.2025
2017-03-15,705.85,710.56696
2017-03-16,710.8,717.3371
2017-03-17,707.5,722.96497
2017-03-20,706.55,725.0846
2017-03-21,698.05,725.4128
2017-03-22,701.45,722.15125
2017-03-23,703.15,720.67834
2017-03-24,703.9,720.71844
2017-03-27,691.2,721.3153
2017-03-28,698.6,717.1178
2017-03-29,687.65,716.28076
2017-03-30,687.05,712.3407
2017-03-31,688.15,709.0418
2017-04-03,692.4,707.467
2017-04-05,690.7,708.3499
2017-04-06,686.9,708.7422
2017-04-07,665.95,707.49506
2017-04-10,667.75,698.7005
2017-04-11,670.4,692.36444
2017-04-12,683.25,689.7705
2017-04-13,692.75,693.5365
2017-04-17,677.05,700.6143
2017-04-18,665.15,699.9747
2017-04-19,663.35,693.7439
2017-04-20,655.95,688.06647
2017-04-21,639.6,681.8686
2017-04-24,642.85,671.8939
2017-04-25,642.55,666.0306
2017-04-26,642.8,662.9627
2017-04-27,637.0,661.6264
2017-04-28,641.95,658.9882
2017-05-02,632.8,658.8369
2017-05-03,628.85,655.882
2017-05-04,631.5,652.0306
2017-05-05,630.2,650.35364
2017-05-08,637.15,649.2265
2017-05-09,640.3,651.1269
2017-05-10,642.8,654.05676
2017-05-11,648.45,657.031
2017-05-12,655.1,660.98505
2017-05-15,654.45,666.11005
2017-05-16,652.35,669.37384
2017-05-17,650.9,670.3468
2017-05-18,653.95,670.0134
2017-05-19,653.15,670.6733
2017-05-22,640.15,671.0047
2017-05-23,614.1,666.4435
2017-05-24,603.5,653.1825
2017-05-25,591.55,639.2741
2017-05-26,567.65,625.9847
2017-05-29,502.6,609.06116
2017-05-30,508.0,574.4409
2017-05-31,501.6,550.8237
2017-06-01,507.45,535.4245
2017-06-02,514.85,529.06494
2017-06-05,512.8,529.2094
2017-06-06,504.3,529.7738
2017-06-07,511.55,527.18744
2017-06-08,528.85,527.37286
2017-06-09,524.7,534.04004
2017-06-12,532.55,538.1801
2017-06-13,537.2,543.1317
2017-06-14,539.55,548.1418
2017-06-15,544.0,552.2499
2017-06-16,529.15,556.3269
2017-06-19,524.85,553.77203
2017-06-20,523.8,549.35815
2017-06-21,528.0,545.79974
2017-06-22,538.7,545.1585
2017-06-23,543.8,549.0749
2017-06-27,544.05,554.2911
2017-06-28,545.45,558.00366
2017-06-29,536.9,560.5965
2017-06-30,555.7,559.04266
2017-07-03,552.0,563.8546
2017-07-04,552.45,566.9041
2017-07-05,550.65,568.70776
2017-07-06,545.6,569.0012
2017-07-07,549.0,567.1251
2017-07-10,563.7,566.70197
2017-07-11,563.8,571.90265
2017-07-12,562.4,576.39343
2017-07-13,569.3,578.6629
2017-07-14,572.55,582.1346
2017-07-17,571.45,585.7566
2017-07-18,578.25,587.73724
2017-07-19,589.15,591.11664
2017-07-20,582.05,597.4447
2017-07-21,575.95,599.5721
2017-07-24,570.8,597.97
2017-07-25,565.9,594.3954
2017-07-26,579.5,589.9863
2017-07-27,572.1,591.8274
2017-07-28,550.8,591.59076
2017-07-31,531.65,583.4848
2017-08-01,533.8,569.98315
2017-08-02,523.55,561.0042
2017-08-03,515.85,552.47095
2017-08-04,506.4,544.34204
2017-08-07,505.55,535.8378
2017-08-08,500.35,529.9378
2017-08-09,474.35,524.77515
2017-08-10,460.8,512.5058
2017-08-11,450.0,498.4615
2017-08-14,471.8,485.24866
2017-08-16,485.7,484.29147
2017-08-17,488.25,490.82825
2017-08-18,470.15,497.4201
2017-08-21,460.55,495.44318
2017-08-22,470.45,489.14368
2017-08-23,469.2,487.5936
2017-08-24,483.0,487.09543
2017-08-28,493.2,491.75018
2017-08-29,481.8,499.33
2017-08-30,484.25,500.9145
2017-08-31,481.15,501.62082
2017-09-01,486.2,500.84204
2017-09-04,500.7,501.8072
2017-09-05,491.85,507.81256
2017-09-06,474.25,509.66202
2017-09-07,480.45,503.97018
2017-09-08,471.35,500.9434
2017-09-11,467.45,496.35794
2017-09-12,483.4,491.73706
2017-09-13,503.35,494.21878
2017-09-14,524.65,504.11856
2017-09-15,524.3,519.41754
2017-09-18,521.05,530.31464
2017-09-19,515.8,535.3916
2017-09-20,505.5,535.71735
2017-09-21,519.65,531.4318
2017-09-22,513.85,532.72614
2017-09-25,505.95,532.663
2017-09-26,507.6,529.6323
2017-09-27,494.7,527.67303
2017-09-28,499.2,522.1193
2017-09-29,503.25,519.381
2017-10-03,502.65,519.5476
2017-10-04,517.9,520.004
2017-10-05,513.8,525.6483
2017-10-06,530.2,528.8831
2017-10-09,531.4,536.2258
2017-10-10,527.2,542.2053
2017-10-11,526.05,544.35187
2017-10-12,539.55,544.60077
2017-10-13,534.7,549.13654
2017-10-16,547.95,551.2274
2017-10-17,547.2,556.7795
2017-10-18,540.2,560.7922
2017-10-19,535.75,560.6376
2017-10-23,540.4,558.17145
2017-10-24,534.55,557.77185
2017-10-25,523.25,555.8669
2017-10-26,530.15,550.386
2017-10-27,549.9,548.5703
2017-10-30,553.1,555.0312
2017-10-31,552.9,561.9444
2017-11-01,548.7,566.4255
2017-11-02,563.45,567.35297
2017-11-03,551.25,572.46014
2017-11-06,541.2,572.2641
2017-11-07,527.6,567.58374
2017-11-08,537.8,558.9206
2017-11-09,533.9,556.1596
2017-11-10,527.85,554.1531
2017-11-13,532.55,550.88354
2017-11-14,526.05,550.16205
2017-11-15,504.65,547.8906
2017-11-16,508.55,538.616
2017-11-17,517.1,532.6117
2017-11-20,517.15,532.3238
2017-11-21,538.05,533.25946
2017-11-22,535.25,541.3985
2017-11-23,544.75,547.0838
2017-11-24,549.5,553.6135
2017-11-27,551.55,559.66693
2017-11-28,543.15,564.22076
2017-11-29,547.1,563.93066
2017-11-30,539.95,564.2174
2017-12-01,525.95,562.01855
2017-12-04,520.75,555.22095
2017-12-05,523.15,548.1351
2017-12-06,511.35,544.3473
2017-12-07,510.35,538.40753
2017-12-08,521.85,533.7914
2017-12-11,529.6,535.05225
2017-12-12,520.85,539.70087
2017-12-13,516.85,540.2934
2017-12-14,514.4,538.47015
2017-12-15,518.35,535.9475
2017-12-18,529.8,535.5549
2017-12-19,527.5,539.7211
2017-12-20,527.25,542.5115
2017-12-21,528.2,543.9683
2017-12-22,530.95,544.98395
2017-12-26,541.3,546.52313
2017-12-27,576.3,551.2591
2017-12-28,568.4,567.27136
2017-12-29,571.15,577.063
2018-01-01,574.05,583.16473
2018-01-02,572.15,587.4148
2018-01-03,569.05,589.1417
2018-01-04,581.2,588.6958
2018-01-05,578.75,592.32916
2018-01-08,591.6,594.6086
2018-01-09,586.5,600.4043
2018-01-10,585.1,602.9995
2018-01-11,587.95,603.5571
2018-01-12,583.45,604.5357
2018-01-15,576.45,603.6429
2018-01-16,577.7,600.2212
2018-01-17,583.75,597.9833
2018-01-18,576.7,598.9235
2018-01-19,572.1,597.62866
2018-01-22,576.15,594.7264
2018-01-23,579.35,593.9786
2018-01-24,586.55,595.0398
2018-01-25,579.85,598.62683
2018-01-29,587.95,599.0285
2018-01-30,591.95,601.5523
2018-01-31,579.9,605.0018
2018-02-01,554.3,603.10474
2018-02-02,551.2,591.7592
2018-02-05,557.45,581.57166
2018-02-06,551.8,577.45557
2018-02-07,549.5,573.98157
2018-02-08,584.1,571.0515
2018-02-09,582.7,581.4799
2018-02-12,589.15,590.2801
2018-02-14,574.8,597.9199
2018-02-15,575.75,597.4876
2018-02-16,575.25,595.99146
2018-02-19,561.4,594.6556
2018-02-20,559.5,588.9341
2018-02-21,525.75,583.7627
2018-02-22,541.45,568.62054
2018-02-23,569.65,562.5071
2018-02-26,555.95,570.23157
2018-02-27,544.8,573.05585
2018-02-28,535.35,569.9763
2018-03-01,535.4,563.48486
2018-03-05,548.55,558.639
2018-03-06,531.75,560.4502
2018-03-07,524.85,557.0001
2018-03-08,514.6,551.3346
2018-03-09,506.8,543.6421
2018-03-12,512.65,535.5467
2018-03-13,523.3,532.26794
2018-03-14,520.1,534.7879
2018-03-15,516.45,536.4204
2018-03-16,503.05,536.0144
2018-03-19,497.65,530.6587
2018-03-20,508.75,524.33875
2018-03-21,504.5,523.9146
2018-03-22,508.4,523.3112
2018-03-23,502.4,524.2465
2018-03-26,503.2,523.0573
2018-03-27,505.1,522.1449
2018-03-28,495.1,522.262
2018-04-02,507.85,519.0618
2018-04-03,510.0,520.7717
2018-04-04,502.25,523.58765
2018-04-05,507.55,522.9404
2018-04-06,512.6,523.6883
2018-04-09,510.85,526.20264
2018-04-10,508.25,527.5765
2018-04-11,521.45,527.34546
2018-04-12,515.9,531.4875
2018-04-13,513.0,533.0979
2018-04-16,519.4,532.6469
2018-04-17,512.15,534.1892
2018-04-18,512.0,533.0531
2018-04-19,509.2,531.7527
2018-04-20,505.3,529.90424
2018-04-23,514.25,527.2443
2018-04-24,517.8,528.4806
2018-04-25,514.05,531.2774
2018-04-26,512.6,532.0857
2018-04-27,524.15,531.7098
2018-04-30,528.4,535.2597
2018-05-02,515.2,539.81287
2018-05-03,536.0,538.35
2018-05-04,517.95,543.5085
2018-05-07,513.7,541.8238
2018-05-08,511.45,537.9333
2018-05-09,506.15,534.20184
2018-05-10,497.2,529.97516
2018-05-11,472.05,524.0285
2018-05-14,473.8,511.1034
2018-05-15,468.65,501.96808
2018-05-16,471.7,494.97287
2018-05-17,479.85,491.8762
2018-05-18,464.9,493.40308
2018-05-21,443.75,490.1154
2018-05-22,453.0,479.72818
2018-05-23,452.25,474.71982
2018-05-24,462.85,472.23056
