Date,Close
2000-01-03,64.75
2000-01-04,59.85
2000-01-05,60.0
2000-01-06,60.6
2000-01-07,60.45
2000-01-10,57.35
2000-01-11,54.1
2000-01-12,54.75
2000-01-13,52.95
2000-01-14,54.0
2000-01-17,55.5
2000-01-18,53.7
2000-01-19,55.4
2000-01-20,59.2
2000-01-21,57.45
2000-01-24,53.95
2000-01-25,51.1
2000-01-27,50.45
2000-01-28,48.0
2000-01-31,45.3
2000-02-01,47.1
2000-02-02,50.9
2000-02-03,51.9
2000-02-04,54.6
2000-02-07,58.0
2000-02-08,60.45
2000-02-09,60.1
2000-02-10,56.2
2000-02-11,55.7
2000-02-14,51.25
2000-02-15,47.45
2000-02-16,47.0
2000-02-17,48.05
2000-02-18,45.7
2000-02-21,42.9
2000-02-22,39.8
2000-02-23,41.25
2000-02-24,41.75
2000-02-25,44.8
2000-02-28,46.25
2000-02-29,45.55
2000-03-01,45.2
2000-03-02,42.5
2000-03-03,39.2
2000-03-06,42.3
2000-03-07,38.95
2000-03-08,38.15
2000-03-09,36.85
2000-03-10,35.05
2000-03-13,32.5
2000-03-14,32.8
2000-03-15,35.4
2000-03-16,34.5
2000-03-21,34.8
2001-07-02,32.95
2001-07-03,30.5
2001-07-04,30.9
2001-07-05,31.5
2001-07-06,30.3
2001-07-09,30.5
2001-07-10,30.85
2001-07-11,31.0
2001-07-12,32.7
2001-07-13,34.85
2001-07-16,35.4
2001-07-17,35.25
2001-07-18,35.6
2001-07-19,35.8
2001-07-20,35.3
2001-07-23,32.0
2001-07-24,36.0
2001-07-25,38.45
2001-07-26,39.45
2001-07-27,38.35
2001-07-30,37.55
2001-07-31,37.15
2001-08-01,38.0
2001-08-02,39.8
2001-08-03,39.8
2001-08-06,40.8
2001-08-07,39.85
2001-08-08,39.95
2001-08-09,39.65
2001-08-10,40.1
2001-08-13,39.9
2001-08-14,39.3
2001-08-16,40.1
2001-08-17,39.25
2001-08-20,38.35
2001-08-21,39.15
2001-08-23,37.75
2001-08-24,36.65
2001-08-27,37.9
2001-08-28,36.7
2001-08-29,36.95
2001-08-30,37.75
2001-08-31,37.35
2001-09-03,36.85
2001-09-04,35.6
2001-09-05,35.05
2001-09-06,33.95
2001-09-07,34.35
2001-09-10,34.65
2001-09-11,33.55
2001-09-12,32.3
2001-09-13,32.05
2001-09-14,28.7
2001-09-17,24.1
2001-09-18,25.7
2001-09-19,26.7
2001-09-20,25.85
2001-09-21,24.75
2001-09-24,26.1
2001-09-25,27.0
2001-09-26,27.0
2001-09-27,28.55
2001-09-28,28.05
2001-10-01,27.95
2001-10-03,28.5
2001-10-04,28.7
2001-10-05,29.35
2001-10-08,28.65
2001-10-09,30.4
2001-10-10,30.8
2001-10-11,31.45
2001-10-12,31.4
2001-10-15,31.25
2001-10-16,31.6
2001-10-17,31.55
2001-10-18,31.65
2001-10-19,32.65
2001-10-22,34.85
2001-10-23,35.9
2001-10-24,36.0
2001-10-25,35.4
2001-10-29,34.8
2001-10-30,33.45
2001-10-31,34.65
2001-11-01,35.7
2001-11-02,35.75
2001-11-05,35.8
2001-11-06,35.9
2001-11-07,35.45
2001-11-08,37.35
2001-11-09,39.15
2001-11-12,39.65
2001-11-13,38.25
2001-11-14,38.1
2001-11-15,37.8
2001-11-19,39.6
2001-11-20,37.85
2001-11-21,39.95
2001-11-22,40.7
2001-11-23,40.45
2001-11-26,41.25
2001-11-27,41.2
2001-11-28,40.7
2001-11-29,40.1
2001-12-03,42.3
2001-12-04,44.6
2001-12-05,52.1
2001-12-06,49.85
2001-12-07,52.8
2001-12-10,57.75
2001-12-11,53.75
2001-12-12,53.55
2001-12-13,51.0
2001-12-14,51.4
2001-12-18,48.2
2001-12-19,44.6
2001-12-20,42.9
2001-12-21,40.25
2001-12-24,38.95
2001-12-26,37.7
2001-12-27,37.05
2001-12-28,39.35
2001-12-31,46.15
2002-01-01,43.9
2002-01-02,45.2
2002-01-03,45.3
2002-01-04,48.15
2002-01-07,47.6
2002-01-08,45.85
2002-01-09,46.9
2002-01-10,44.6
2002-01-11,43.65
2002-01-14,47.6
2002-01-15,46.65
2002-01-16,46.8
2002-01-17,46.8
2002-01-18,45.95
2002-01-21,46.6
2002-01-22,48.65
2002-01-23,49.7
2002-01-24,47.05
2002-01-25,46.85
2002-01-28,45.4
2002-01-29,44.65
2002-01-30,43.65
2002-01-31,44.25
2002-02-01,44.95
2002-02-04,43.0
2002-02-05,43.0
2002-02-06,44.45
2002-02-07,44.1
2002-02-08,44.2
2002-02-11,44.25
2002-02-12,44.1
2002-02-13,43.9
2002-02-14,43.25
2002-02-15,44.85
2002-02-18,45.1
2002-02-19,44.0
2002-02-20,42.6
2002-02-21,42.1
2002-02-22,41.75
2002-02-25,41.65
2002-02-26,43.5
2002-02-27,42.8
2002-02-28,39.95
2002-03-01,40.8
2002-03-04,42.65
2002-03-05,43.35
2002-03-06,42.25
2002-03-07,41.95
2002-03-08,42.5
2002-03-11,42.6
2002-03-12,41.5
2002-03-13,41.45
2002-03-14,41.45
2002-03-15,41.75
2002-03-18,41.95
2002-03-19,41.85
2002-03-20,41.8
2002-03-21,41.4
2002-03-22,41.7
2002-03-26,41.95
2002-03-27,41.55
2002-03-28,41.9
2002-04-01,42.0
2002-04-02,42.05
2002-04-03,42.2
2002-04-04,41.2
2002-04-05,41.6
2002-04-08,42.25
2002-04-09,42.9
2002-04-10,42.2
2002-04-11,42.85
2002-04-12,42.0
2002-04-15,43.45
2002-04-16,45.15
2002-04-17,44.9
2002-04-18,43.75
2002-04-19,43.15
2002-04-22,42.65
2002-04-23,43.8
2002-04-24,46.1
2002-04-25,47.25
2002-04-26,47.3
2002-04-29,45.15
2002-04-30,44.95
2002-05-02,44.75
2002-05-03,44.75
2002-05-06,45.1
2002-05-07,44.95
2002-05-08,45.1
2002-05-09,47.0
2002-05-10,48.25
2002-05-13,49.8
2002-05-14,55.15
2002-05-15,52.5
2002-05-16,49.7
2002-05-17,47.9
2002-05-20,45.05
2002-05-21,42.3
2002-05-22,42.95
