Date,Close,Predictions
2017-06-21,367.3,380.42276
2017-06-22,366.2,380.88943
2017-06-23,366.2,381.0566
2017-06-27,371.45,381.0836
2017-06-28,377.2,382.17685
2017-06-29,382.45,384.65768
2017-06-30,379.7,388.27975
2017-07-03,382.05,390.98892
2017-07-04,379.3,393.34253
2017-07-05,376.3,394.44055
2017-07-06,381.3,394.1856
2017-07-07,385.9,394.54514
2017-07-10,405.7,395.99643
2017-07-11,395.45,401.86615
2017-07-12,397.1,405.843
2017-07-13,403.15,408.79993
2017-07-14,407.0,412.0458
2017-07-17,408.45,415.505
2017-07-18,408.3,418.61472
2017-07-19,421.25,420.89862
2017-07-20,419.8,425.25778
2017-07-21,411.3,429.04398
2017-07-24,420.05,429.97476
2017-07-25,427.8,431.64664
2017-07-26,426.25,434.84457
2017-07-27,416.05,437.54187
2017-07-28,413.3,437.24606
2017-07-31,418.95,435.36136
2017-08-01,417.05,434.50458
2017-08-02,415.85,433.70538
2017-08-03,424.2,432.86765
2017-08-04,420.9,434.0767
2017-08-07,417.45,435.0029
2017-08-08,417.8,434.9383
2017-08-09,416.05,434.63153
2017-08-10,416.25,433.89172
2017-08-11,414.55,433.2026
2017-08-14,408.55,432.29086
2017-08-16,407.75,430.1694
2017-08-17,416.35,427.91196
2017-08-18,421.0,427.972
2017-08-21,419.15,429.8534
2017-08-22,422.1,431.62714
2017-08-23,431.9,433.70837
2017-08-24,432.95,437.63995
2017-08-28,434.4,441.60016
2017-08-29,428.1,445.0878
2017-08-30,429.0,446.22858
2017-08-31,427.7,446.48984
2017-09-01,422.55,446.00717
2017-09-04,416.4,444.1706
2017-09-05,406.5,440.86057
2017-09-06,402.5,435.51114
2017-09-07,397.3,429.69403
2017-09-08,403.5,423.76526
2017-09-11,402.95,420.44376
2017-09-12,405.2,418.63077
2017-09-13,401.65,418.33447
2017-09-14,398.9,417.9222
2017-09-15,396.0,417.022
2017-09-18,396.65,415.51822
2017-09-19,394.8,414.26044
2017-09-20,396.85,412.93152
2017-09-21,400.1,412.31863
2017-09-22,395.35,412.79855
2017-09-25,389.75,412.5316
2017-09-26,387.35,410.8625
2017-09-27,385.95,408.51025
2017-09-28,382.05,406.0654
2017-09-29,389.45,403.22818
