Date,Close,Predictions
2018-02-05,291.25,305.18173
2018-02-06,283.2,305.41092
2018-02-07,290.0,303.20068
2018-02-08,304.2,301.44797
2018-02-09,309.35,302.84125
2018-02-12,310.75,306.4668
2018-02-14,309.55,310.7408
2018-02-15,307.8,314.26556
2018-02-16,312.4,316.3929
2018-02-19,302.7,318.23322
2018-02-20,305.6,317.8048
2018-02-21,298.3,316.8688
2018-02-22,297.7,314.55313
2018-02-23,306.95,311.92297
2018-02-26,316.1,311.3508
2018-02-27,318.1,313.58878
2018-02-28,312.2,317.1543
2018-03-01,305.5,319.60333
2018-03-05,291.65,319.79507
2018-03-06,293.5,316.323
2018-03-07,289.5,312.07654
2018-03-08,289.25,307.585
2018-03-09,291.95,303.8412
2018-03-12,297.85,301.71655
2018-03-13,303.5,301.89517
2018-03-14,300.45,304.21054
2018-03-15,295.15,306.5778
2018-03-16,290.25,307.53412
2018-03-19,283.6,306.7026
2018-03-20,285.5,303.94064
2018-03-21,288.4,301.1063
2018-03-22,286.0,299.3186
2018-03-23,286.0,297.97342
2018-03-26,293.9,297.11136
2018-03-27,298.85,298.07553
2018-03-28,288.15,300.6433
2018-04-02,296.55,301.56274
2018-04-03,303.05,302.97708
2018-04-04,295.85,305.5167
2018-04-05,308.4,306.8013
2018-04-06,308.2,309.45883
2018-04-09,309.4,312.22165
2018-04-10,311.35,314.69275
2018-04-11,312.2,316.86807
2018-04-12,308.25,318.6085
2018-04-13,308.5,319.06503
2018-04-16,308.9,318.84015
2018-04-17,309.15,318.40033
2018-04-18,309.95,317.99786
2018-04-19,322.85,317.85287
2018-04-20,322.85,320.2204
2018-04-23,321.8,323.3737
2018-04-24,324.75,326.1056
2018-04-25,321.7,328.62387
2018-04-26,327.7,329.97894
2018-04-27,327.6,331.58667
2018-04-30,325.0,332.98193
2018-05-02,315.15,333.52454
2018-05-03,319.3,331.74686
2018-05-04,317.4,329.94913
2018-05-07,325.8,328.16727
2018-05-08,324.05,328.29993
2018-05-09,321.75,329.0485
2018-05-10,319.55,329.548
