Date,Close,Predictions
2017-01-13,1090.4,1171.2723
2017-01-16,1076.25,1173.4575
2017-01-17,1041.25,1171.4231
2017-01-18,1032.55,1158.6669
2017-01-19,1033.7,1143.2008
2017-01-20,1025.8,1131.0126
2017-01-23,1015.9,1120.8634
2017-01-24,1027.3,1111.4303
2017-01-25,1017.3,1108.0312
2017-01-27,1025.1,1104.9082
2017-01-30,1044.8,1105.1033
2017-01-31,1045.2,1111.9692
2017-02-01,1049.65,1119.5564
2017-02-02,1043.5,1126.8344
2017-02-03,1033.65,1130.4213
2017-02-06,1041.65,1129.0337
2017-02-07,1030.9,1128.4335
2017-02-08,1025.15,1125.0654
2017-02-09,1032.75,1119.9824
2017-02-10,1030.15,1117.6721
2017-02-13,1029.85,1116.109
2017-02-14,1049.8,1115.1737
2017-02-15,1051.3,1120.2957
2017-02-16,1067.5,1126.5814
2017-02-17,1075.5,1136.296
2017-02-20,1075.4,1146.9172
2017-02-21,1088.2,1155.0862
2017-02-22,1207.5,1163.8715
2017-02-23,1182.75,1204.3108
2017-02-27,1238.9,1237.6775
2017-02-28,1238.05,1276.5682
2017-03-01,1234.5,1306.4226
2017-03-02,1236.75,1323.9926
2017-03-03,1258.55,1332.8553
2017-03-06,1305.35,1342.1862
2017-03-07,1304.95,1362.3738
2017-03-08,1291.2,1380.1825
2017-03-09,1286.75,1388.2402
2017-03-10,1281.65,1389.3838
2017-03-14,1289.5,1386.0835
2017-03-15,1304.95,1384.2881
2017-03-16,1297.65,1387.8759
2017-03-17,1300.7,1390.0433
2017-03-20,1280.8,1392.2184
2017-03-21,1263.8,1387.9066
2017-03-22,1259.7,1377.7
2017-03-23,1273.3,1367.108
2017-03-24,1286.75,1363.2383
2017-03-27,1251.1,1366.6324
2017-03-28,1245.75,1361.1377
2017-03-29,1256.65,1352.9961
2017-03-30,1270.65,1349.3629
2017-03-31,1320.9,1352.2983
2017-04-03,1374.65,1371.595
2017-04-05,1415.0,1407.2285
2017-04-06,1438.5,1451.0404
2017-04-07,1406.6,1492.9579
2017-04-10,1381.35,1512.8522
2017-04-11,1372.35,1511.9689
2017-04-12,1354.0,1501.0115
2017-04-13,1364.8,1483.3704
2017-04-17,1391.85,1471.2051
2017-04-18,1370.2,1472.0038
2017-04-19,1368.8,1470.1932
2017-04-20,1369.55,1468.0281
2017-04-21,1402.5,1466.6992
2017-04-24,1417.4,1476.1305
2017-04-25,1432.8,1491.0409
2017-04-26,1416.45,1508.5815
2017-04-27,1409.5,1517.229
2017-04-28,1395.2,1518.5282
2017-05-02,1370.55,1512.4581
2017-05-03,1370.1,1497.9191
2017-05-04,1357.95,1484.3656
2017-05-05,1328.25,1470.9669
2017-05-08,1321.4,1452.4071
2017-05-09,1330.35,1435.4528
2017-05-10,1359.1,1426.4564
2017-05-11,1359.55,1431.3407
2017-05-12,1350.45,1439.8486
2017-05-15,1344.1,1444.9545
2017-05-16,1356.3,1445.9067
2017-05-17,1353.1,1448.9468
2017-05-18,1327.35,1450.7319
2017-05-19,1318.85,1443.8383
2017-05-22,1324.15,1433.462
2017-05-23,1305.55,1426.201
2017-05-24,1297.7,1416.237
2017-05-25,1302.45,1405.8975
2017-05-26,1337.3,1399.7173
2017-05-29,1356.9,1407.0527
2017-05-30,1359.35,1422.79
2017-05-31,1340.7,1438.0466
2017-06-01,1328.25,1443.5796
2017-06-02,1324.75,1440.6998
2017-06-05,1329.35,1434.5702
2017-06-06,1312.8,1430.1512
2017-06-07,1339.0,1422.3353
2017-06-08,1331.7,1423.4348
2017-06-09,1335.7,1424.8153
2017-06-12,1319.45,1427.3242
2017-06-13,1314.35,1424.6913
2017-06-14,1357.5,1419.6768
2017-06-15,1383.95,1428.1465
2017-06-16,1388.8,1446.532
2017-06-19,1409.25,1464.7988
2017-06-20,1412.35,1484.4138
2017-06-21,1422.0,1499.8912
2017-06-22,1432.65,1512.5443
2017-06-23,1435.85,1523.7096
2017-06-27,1437.15,1531.9263
2017-06-28,1398.5,1537.0043
2017-06-29,1392.7,1527.475
2017-06-30,1380.0,1514.0104
2017-07-03,1381.05,1498.7695
2017-07-04,1421.95,1487.4084
2017-07-05,1442.65,1492.9132
2017-07-06,1442.55,1508.7728
2017-07-07,1491.15,1524.0157
2017-07-10,1492.85,1550.1832
2017-07-11,1494.35,1573.0662
2017-07-12,1511.1,1589.0797
2017-07-13,1522.1,1603.3757
2017-07-14,1533.75,1616.0742
2017-07-17,1551.75,1627.9362
2017-07-18,1519.9,1641.4574
2017-07-19,1532.95,1641.278
2017-07-20,1528.9,1640.7765
2017-07-21,1585.0,1638.5227
2017-07-24,1615.25,1653.8525
2017-07-25,1602.15,1679.7322
2017-07-26,1622.75,1697.6375
2017-07-27,1594.8,1714.6826
2017-07-28,1594.45,1717.2822
